Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
WED - MID, 1/1/2020, 342, 1373, 44530, , , , , ,
WED - EVE, 1/1/2020, 933, 5190, 79746, 6 7 20 37 42 48 $7.70 M/0, 157555, 6 15 30 34 38 $100000.00, , 49 53 57 59 62 +26 x2 $220.00 M/0,
THU - MID, 1/2/2020, 537, 0061, 40980, , , , , ,
THU - EVE, 1/2/2020, 357, 6787, 62370, , , 2 27 29 33 36 $110000.00, , ,1 3 18 22 33 +70
FRI - MID, 1/3/2020, 346, 5796, 00564, , , , , ,
FRI - EVE, 1/3/2020, 163, 1042, 94892, , , 1 4 19 21 27 $120000.00, 37 41 42 53 63 +16 x2 $60.00 M/0, ,
SAT - MID, 1/4/2020, 183, 7279, 06914, , , , , ,
SAT - EVE, 1/4/2020, 069, 7065, 90135, 17 20 35 40 45 48 $7.80 M/0, 250796, 12 15 19 23 38 $100000.00, , 1 11 21 25 54 +7 x2 $237.00 M/0,
SUN - MID, 1/5/2020, 781, 1930, 58175, , , , , ,
SUN - EVE, 1/5/2020, 573, 9233, 55318, , , 4 9 27 30 33 $110000.00, , ,
MON - MID, 1/6/2020, 645, 1507, 90276, , , , , ,
MON - EVE, 1/6/2020, 368, 2964, 19162, 3 12 14 24 26 34 $7.90 M/0, 378983, 2 4 7 9 17 $100000.00, , ,5 8 15 33 48 +20
TUE - MID, 1/7/2020, 168, 3190, 76608, , , , , ,
TUE - EVE, 1/7/2020, 890, 5115, 25315, , , 9 16 18 33 35 $100000.00, 25 40 41 52 56 +21 x4 $69.00 M/0, ,
WED - MID, 1/8/2020, 581, 2372, 38610, , , , , ,
WED - EVE, 1/8/2020, 238, 4110, 40785, 6 13 14 26 34 41 $8.00 M/0, 377344, 1 12 29 30 36 $110000.00, , 2 4 7 43 56 +22 x4 $258.00 M/0,
THU - MID, 1/9/2020, 768, 8901, 90302, , , , , ,
THU - EVE, 1/9/2020, 779, 8680, 47899, , , 19 28 33 36 38 $100000.00, , ,1 14 21 28 37 +121
FRI - MID, 1/10/2020, 021, 4472, 89145, , , , , ,
FRI - EVE, 1/10/2020, 163, 3988, 23239, , , 1 17 22 27 29 $110000.00, 17 27 49 51 66 +2 x2 $80.00 M/0, ,
SAT - MID, 1/11/2020, 742, 9173, 22876, , , , , ,
SAT - EVE, 1/11/2020, 139, 5212, 21447, 10 14 22 27 34 36 $8.10 M/0, 774351, 22 26 32 34 36 $120000.00, , 3 21 23 31 59 +3 x2 $277.00 M/0,
SUN - MID, 1/12/2020, 155, 2206, 64950, , , , , ,
SUN - EVE, 1/12/2020, 024, 6612, 41039, , , 21 22 32 35 37 $100000.00, , ,
MON - MID, 1/13/2020, 657, 2678, 56304, , , , , ,
MON - EVE, 1/13/2020, 106, 7887, 44211, 14 21 25 28 33 44 $8.20 M/0, 367210, 1 20 25 33 37 $110000.00, , ,7 16 30 32 39 +170
TUE - MID, 1/14/2020, 707, 9211, 94717, , , , , ,
TUE - EVE, 1/14/2020, 555, 6835, 91408, , , 7 11 31 35 39 $120000.00, 9 11 13 31 47 +11 x2 $91.00 M/0, ,
WED - MID, 1/15/2020, 089, 9522, 82828, , , , , ,
